id,name
3371,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax
3485,Bacteria;Proteobacteria;Gammaproteobacteria
3111,Bacteria;Proteobacteria;Alphaproteobacteria
3593,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae
3227,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
3372,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae
1293,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella
3407,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio
3615,Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae;Cloacibacillus
3406,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales
3404,Bacteria;Proteobacteria;Deltaproteobacteria
978,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Phycicoccus
3363,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae
1361,Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Cloacibacterium
954,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermabacteraceae;Brachybacterium
894,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae
981,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Kineosporiaceae;Quadrisphaera
2893,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea
928,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium
